Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
NSE2003-01-00	SOLID STATE CHEMISTRY	3	김지원	월5,6,수6	I진B318	65	44	65 (Y)	0	0	0	0	X	36	1	19	4.98
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	19	Y (Y)	4	N	Y	0.7539	0.9473	3	O	 
2	16	Y (Y)	6	N	Y	0.6825	0.8947	3	O	 
3	16	Y (Y)	5	N	Y	0.8333	0.7894	4	O	 
4	15	Y (Y)	6	N	Y	0.9682	1.0000	4	O	 
5	11	Y (Y)	6	N	Y	0.8809	0.9736	4	O	 
6	10	Y (Y)	6	N	Y	0.4563	0.8684	2	O	 
7	10	Y (Y)	6	N	Y	0.2777	0.8947	2	O	 
8	10	Y (Y)	5	N	Y	0.4682	0.7894	3	O	 
9	8	Y (Y)	6	N	Y	0.4722	1.0000	2	O	 
10	7	Y (Y)	6	N	Y	0.6865	0.9736	3	O	 
11	7	Y (Y)	6	N	Y	0.4484	0.9736	2	O	 
12	6	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
13	6	Y (Y)	6	N	Y	0.3809	0.7105	2	O	 
14	5	Y (Y)	6	N	Y	0.4960	0.9736	2	O	 
15	5	Y (Y)	6	N	Y	0.4563	1.0000	2	O	 
16	5	Y (Y)	6	N	Y	0.4246	0.9736	2	O	 
17	5	Y (Y)	6	N	Y	0.4246	0.8157	2	O	 
18	5	Y (Y)	6	N	Y	0.3730	0.7894	2	O	 
19	5	Y (Y)	6	N	Y	0.2698	0.8421	2	O	 
20	4	Y (Y)	6	N	Y	0.4246	0.8157	2	O	 
21	3	Y (Y)	6	N	Y	0.5000	0.8157	3	O	 
22	3	Y (Y)	6	N	Y	0.4722	0.8157	2	O	 
23	3	Y (Y)	6	N	Y	0.4484	0.8157	2	O	 
24	3	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
25	3	Y (Y)	6	N	Y	0.4325	0.8684	2	O	 
26	3	Y (Y)	6	N	Y	0.4325	0.8684	2	O	 
27	3	Y (Y)	6	N	Y	0.3571	0.6842	2	O	 
28	2	Y (Y)	6	N	Y	0.4246	0.7105	2	O	 
29	2	Y (Y)	6	N	Y	0.3571	0.8684	2	O	 
30	2	Y (Y)	6	N	Y	0.3531	0.8157	2	O	 
31	2	Y (Y)	6	N	Y	0.3333	0.7894	2	O	 
32	2	Y (Y)	6	N	Y	0.2777	0.8947	2	O	 
33	2	Y (Y)	4	N	Y	0.3373	0.8157	2	O	 
34	1	Y (Y)	6	N	Y	0.6388	0.8947	3	O	 
35	1	Y (Y)	6	N	Y	0.5476	0.9473	3	O	 
36	1	Y (Y)	6	N	Y	0.5039	1.0000	2	O	 
37	1	Y (Y)	6	N	Y	0.4880	0.9736	2	O	 
38	1	Y (Y)	6	N	Y	0.4563	0.8684	2	O	 
39	1	Y (Y)	6	N	Y	0.4206	0.9736	2	O	 
40	1	Y (Y)	6	N	Y	0.4087	0.8684	2	O	 
41	1	Y (Y)	6	N	Y	0.4087	0.6578	2	O	 
42	1	Y (Y)	6	N	Y	0.3928	0.7631	2	O	 
43	1	Y (Y)	6	N	Y	0.3809	0.7631	2	O	 
44	1	Y (Y)	6	N	Y	0.3650	0.8157	2	O	 
