Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
RUS3140-01-00	러시아역사와문화	3	최인선	월7,8,수8	위B05	35	33	0 (N)	0	0	0	0	O	36	1	10	2.76
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	10	Y (Y)	6	N	Y	0.8000	1.0000	4	O	 
2	10	N (N)	6	N	Y	0.8333	0.6666	4	O	 
3	10	N (N)	5	N	Y	0.8962	0.9473	4	O	 
4	8	Y (Y)	6	N	Y	0.7629	0.9473	4	O	 
5	6	Y (Y)	6	N	Y	0.2444	0.7894	2	O	 
6	5	N (N)	5	Y	Y	0.8928	1.0000	4	O	 
7	3	Y (Y)	6	N	Y	0.6000	0.9473	3	O	 
8	3	Y (Y)	6	N	Y	0.5370	0.7894	3	O	 
9	3	N (N)	6	N	Y	0.6031	1.0000	3	O	 
10	2	Y (Y)	6	Y	Y	0.8962	0.8421	4	O	 
11	2	Y (Y)	6	N	Y	0.8074	0.7894	4	O	 
12	2	Y (Y)	6	N	Y	0.5703	0.9736	3	O	 
13	2	Y (Y)	6	N	Y	0.5518	1.0000	3	O	 
14	2	Y (Y)	6	N	Y	0.5481	0.9736	3	O	 
15	2	Y (Y)	6	N	Y	0.5444	1.0000	3	O	 
16	2	Y (Y)	6	N	Y	0.5259	0.9736	3	O	 
17	2	Y (Y)	6	N	Y	0.4037	0.9736	2	O	 
18	2	N (N)	6	N	Y	0.8968	1.0000	4	O	 
19	1	Y (Y)	6	N	Y	0.9240	0.7894	4	O	 
20	1	Y (Y)	6	N	Y	0.7148	0.9473	4	O	 
21	1	Y (Y)	6	N	Y	0.6777	0.9210	3	O	 
22	1	Y (Y)	6	N	Y	0.5962	0.9473	4	O	 
23	1	Y (Y)	6	N	Y	0.5962	0.7894	4	O	 
24	1	Y (Y)	6	N	Y	0.5925	0.8947	3	O	 
25	1	Y (Y)	6	N	Y	0.5555	0.9473	3	O	 
26	1	Y (Y)	6	N	Y	0.5296	0.9210	3	O	 
27	1	Y (Y)	6	N	Y	0.5259	1.0000	3	O	 
28	1	Y (Y)	6	N	Y	0.5111	0.7894	3	O	 
29	1	Y (Y)	6	N	Y	0.3555	0.1578	3	O	 
30	1	Y (Y)	6	N	Y	0.3259	0.4736	2	O	 
31	1	Y (Y)	5	N	Y	0.2148	0.6842	2	O	 
32	1	N (N)	6	N	Y	0.8361	0.7894	4	O	 
33	1	N (N)	6	N	Y	0.6962	0.9736	3	O	 
