Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GKE2101-01-00	한국어의이해	3	한송화	화5,6,목4	새천113	32	31	32 (N)	0	0	0	0	X	36	1	12	4.55
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.9087	1.0000	4	O	 
2	11	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
3	10	Y (Y)	6	N	Y	0.4007	1.0000	2	O	 
4	9	Y (Y)	6	N	Y	0.2658	0.5277	2	O	 
5	8	Y (Y)	6	N	Y	0.2777	0.8888	2	O	 
6	7	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
7	7	Y (Y)	5	N	Y	0.4007	0.9166	2	O	 
8	6	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
9	5	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
10	5	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
11	5	Y (Y)	6	N	Y	0.5674	1.0000	3	O	 
12	5	Y (Y)	6	N	Y	0.4246	0.9166	2	O	 
13	5	Y (Y)	6	N	Y	0.3928	0.6944	2	O	 
14	5	Y (Y)	6	N	Y	0.3849	0.8611	2	O	 
15	5	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
16	5	Y (Y)	6	N	Y	0.2698	0.8333	2	O	 
17	5	Y (Y)	6	N	Y	0.2460	0.8333	2	O	 
18	4	Y (Y)	6	N	Y	0.3928	0.8611	2	O	 
19	4	Y (Y)	6	N	Y	0.2777	1.0000	2	O	 
20	2	Y (Y)	6	N	Y	0.4087	0.9722	2	O	 
21	2	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
22	2	Y (Y)	6	N	Y	0.2857	0.8888	2	O	 
23	2	Y (Y)	6	N	Y	0.2777	1.0000	2	O	 
24	2	Y (Y)	6	N	Y	0.2698	0.8333	2	O	 
25	2	Y (Y)	6	N	Y	0.2182	0.9444	2	O	 
26	1	Y (Y)	6	Y	Y	0.8214	0.8333	4	O	 
27	1	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
28	1	Y (Y)	6	N	Y	0.4325	0.9166	2	O	 
29	1	Y (Y)	6	N	Y	0.4285	0.9444	2	O	 
30	1	Y (Y)	6	N	Y	0.3849	1.0000	2	O	 
31	1	Y (Y)	6	N	Y	0.2460	0.7777	2	O	 
