Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CMP2206-03-00	음악사(2)	2	오윤록	월3,4	음103	60	36	0 (N)	0	0	0	0	X	36	1	10	1.25
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	10	Y (Y)	6	N	Y	0.2142	0.7368	2	O	 
2	1	Y (Y)	6	Y	Y	0.9214	0.9473	4	O	 
3	1	Y (Y)	6	Y	Y	0.8285	0.8421	4	O	 
4	1	Y (Y)	6	N	Y	0.9214	1.0000	4	O	 
5	1	Y (Y)	6	N	Y	0.7357	1.0000	4	O	 
6	1	Y (Y)	6	N	Y	0.6464	0.9210	3	O	 
7	1	Y (Y)	6	N	Y	0.6214	0.8947	3	O	 
8	1	Y (Y)	6	N	Y	0.5392	0.9736	3	O	 
9	1	Y (Y)	6	N	Y	0.5142	0.4736	4	O	 
10	1	Y (Y)	6	N	Y	0.4321	1.0000	2	O	 
11	1	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
12	1	Y (Y)	6	N	Y	0.4178	1.0000	2	O	 
13	1	Y (Y)	6	N	Y	0.4142	1.0000	2	O	 
14	1	Y (Y)	6	N	Y	0.4107	1.0000	2	O	 
15	1	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
16	1	Y (Y)	6	N	Y	0.4035	0.9210	2	O	 
17	1	Y (Y)	6	N	Y	0.4035	0.9210	2	O	 
18	1	Y (Y)	6	N	Y	0.4035	0.9210	2	O	 
19	1	Y (Y)	6	N	Y	0.3964	1.0000	2	O	 
20	1	Y (Y)	6	N	Y	0.3928	1.0000	2	O	 
21	1	Y (Y)	6	N	Y	0.3928	0.9473	2	O	 
22	1	Y (Y)	6	N	Y	0.3892	1.0000	2	O	 
23	1	Y (Y)	6	N	Y	0.3892	1.0000	2	O	 
24	1	Y (Y)	6	N	Y	0.3892	1.0000	2	O	 
25	1	Y (Y)	6	N	Y	0.3857	1.0000	2	O	 
26	1	Y (Y)	6	N	Y	0.3785	0.9736	2	O	 
27	1	Y (Y)	6	N	Y	0.3750	0.9736	2	O	 
28	1	Y (Y)	6	N	Y	0.3642	1.0000	2	O	 
29	1	Y (Y)	6	N	Y	0.3500	1.0000	2	O	 
30	1	Y (Y)	6	N	Y	0.3428	0.8947	2	O	 
31	1	Y (Y)	6	N	Y	0.3428	0.7368	2	O	 
32	1	Y (Y)	6	N	Y	0.3321	0.8157	2	O	 
33	1	Y (Y)	6	N	Y	0.3107	0.8947	2	O	 
34	1	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
35	1	Y (Y)	6	N	N	0.2285	0.8947	3	O	 
36	1	Y (Y)	5	Y	N	0.9142	0.8421	4	O	 
