Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
VOM3203-01-00	불란서가곡클래스(1)	2	이정현	수5,6	음141	30	30	0 (N)	0	0	0	0	O	36	1	9	1.33
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	9	N (N)	6	N	Y	0.5285	0.9736	3	O	 
2	3	N (N)	6	N	Y	0.5071	0.9473	3	O	 
3	1	N (N)	6	N	Y	0.7285	0.9473	4	O	* 
4	1	N (N)	6	N	Y	0.7714	0.8947	4	O	 
5	1	N (N)	6	N	Y	0.5642	0.9210	3	O	 
6	1	N (N)	6	N	Y	0.5571	1.0000	3	O	 
7	1	N (N)	6	N	Y	0.5392	0.8947	3	O	 
8	1	N (N)	6	N	Y	0.5357	1.0000	3	O	 
9	1	N (N)	6	N	Y	0.5321	0.9210	3	O	 
10	1	N (N)	6	N	Y	0.5285	1.0000	3	O	 
11	1	N (N)	6	N	Y	0.5285	0.9210	3	O	 
12	1	N (N)	6	N	Y	0.5250	0.9736	3	O	 
13	1	N (N)	6	N	Y	0.5214	1.0000	3	O	 
14	1	N (N)	6	N	Y	0.5214	0.9736	3	O	 
15	1	N (N)	6	N	Y	0.5214	0.9736	3	O	 
16	1	N (N)	6	N	Y	0.5214	0.9210	3	O	 
17	1	N (N)	6	N	Y	0.5142	1.0000	3	O	 
18	1	N (N)	6	N	Y	0.5142	0.9473	3	O	 
19	1	N (N)	6	N	Y	0.5142	0.9473	3	O	 
20	1	N (N)	6	N	Y	0.4928	0.9473	3	O	 
21	1	N (N)	6	N	Y	0.4928	0.9210	3	O	 
22	1	N (N)	6	N	Y	0.4857	1.0000	3	O	 
23	1	N (N)	6	N	Y	0.4785	1.0000	3	O	 
24	1	N (N)	6	N	Y	0.4714	0.9473	3	O	 
25	1	N (N)	6	N	Y	0.4571	1.0000	3	O	 
26	1	N (N)	6	N	Y	0.4571	1.0000	3	O	 
27	1	N (N)	6	N	Y	0.4392	0.8421	3	O	 
28	1	N (N)	6	N	Y	0.4214	0.8421	3	O	 
29	1	N (N)	6	N	Y	0.3750	0.9736	2	O	 
30	1	N (N)	6	N	Y	0.3714	0.8947	3	O	 
