Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ1101-06-00	회계원리(1)	3	조은정	화1,목2,3	경영103	70	59	70 (Y)	0	56	7	7	O	12	1	12	11.27
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.5000	1.0000	3	O	 
2	12	Y (Y)	6	N	Y	0.4246	0.6944	2	O	 
3	12	Y (Y)	6	N	Y	0.3333	1.0000	2	O	 
4	12	Y (Y)	6	N	Y	0.3333	1.0000	2	O	 
5	12	Y (Y)	6	N	Y	0.3253	1.0000	2	O	 
6	12	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
7	12	Y (Y)	6	N	Y	0.3134	1.0000	2	O	 
8	12	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
9	12	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
10	12	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
11	12	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
12	12	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
13	12	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
14	12	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
15	12	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
16	12	Y (Y)	6	N	Y	0.2896	0.8888	2	O	 
17	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
18	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
19	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
20	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
21	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
22	12	Y (Y)	6	N	Y	0.2857	0.9722	2	O	 
23	12	Y (Y)	6	N	Y	0.2857	0.9444	2	O	 
24	12	Y (Y)	6	N	Y	0.2857	0.9444	2	O	 
25	12	Y (Y)	6	N	Y	0.2777	0.9444	2	O	 
26	12	Y (Y)	6	N	Y	0.2777	0.8888	2	O	 
27	12	Y (Y)	6	N	Y	0.2698	1.0000	2	O	 
28	12	Y (Y)	6	N	Y	0.2698	0.9444	2	O	 
29	12	Y (Y)	6	N	Y	0.2698	0.9444	2	O	 
30	12	Y (Y)	6	N	Y	0.2698	0.7777	2	O	 
31	12	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
32	12	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
33	12	Y (Y)	6	N	Y	0.2619	0.8333	2	O	 
34	12	Y (Y)	6	N	Y	0.2619	0.8333	2	O	 
35	12	Y (Y)	6	N	Y	0.2619	0.7222	2	O	 
36	12	Y (Y)	6	N	Y	0.2539	0.8888	2	O	 
37	12	Y (Y)	6	N	Y	0.2539	0.8333	2	O	 
38	12	Y (Y)	6	N	Y	0.2539	0.7777	2	O	 
39	12	Y (Y)	6	N	Y	0.2460	0.8611	2	O	 
40	12	Y (Y)	6	N	Y	0.2460	0.8333	2	O	 
41	12	Y (Y)	6	N	Y	0.2063	0.5555	2	O	 
42	12	Y (Y)	6	N	N	1.0000	0.9473	4	O	 
43	12	Y (Y)	6	N	N	0.7777	0.8333	4	O	 
44	12	Y (Y)	6	N	N	0.6190	0.8333	3	O	 
45	12	Y (Y)	6	N	N	0.5555	1.0000	3	O	 
46	12	Y (Y)	6	N	N	0.5476	0.8055	3	O	 
47	12	Y (Y)	5	N	Y	0.2857	0.9444	2	O	 
48	12	Y (Y)	5	N	Y	0.1984	0.7222	2	O	 
49	12	Y (Y)	5	N	N	0.5317	0.8333	3	O	 
50	11	Y (Y)	6	N	Y	0.2301	0.8333	2	O	 
51	11	Y (Y)	5	N	Y	0.2777	1.0000	2	O	 
52	10	Y (Y)	6	N	Y	0.3412	0.9444	2	O	 
53	10	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
54	10	Y (Y)	6	N	Y	0.2222	0.6666	2	O	 
55	10	Y (Y)	6	N	N	0.2817	0.5277	2	O	 
56	8	Y (Y)	5	N	Y	0.2222	0.5555	2	O	 
57	5	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
58	1	Y (Y)	6	N	Y	0.1309	0.8611	2	O	 
59	1	Y (Y)	6	N	N	0.9265	1.0000	4	O	 
