Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CEE3414-01-00	물리화학적수처리공학	3	김형일	목9,금7,8(목10)	공B043(공B043)	60	34	0 (Y)	0	0	0	0	O	36	1	13	4.88
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	13	Y (Y)	6	N	Y	0.7285	1.0000	4	O	 
2	13	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
3	12	Y (Y)	6	N	Y	0.5928	0.9473	4	O	 
4	11	N (N)	6	N	Y	0.5000	0.9210	3	O	 
5	10	Y (Y)	6	N	Y	0.7071	0.9473	4	O	 
6	10	Y (Y)	6	N	Y	0.3785	0.9736	3	O	 
7	10	N (N)	6	N	Y	0.5000	0.9210	3	O	 
8	8	Y (Y)	6	N	Y	0.5214	0.9736	3	O	 
9	8	Y (Y)	6	N	Y	0.4571	0.9473	3	O	 
10	6	Y (Y)	6	N	Y	0.6142	0.7894	3	O	 
11	6	Y (Y)	6	N	Y	0.5214	0.7894	3	O	 
12	6	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
13	6	N (N)	6	N	Y	0.8500	0.9736	4	O	 
14	5	Y (Y)	6	N	Y	0.9214	0.9473	4	O	 
15	5	Y (Y)	5	Y	Y	0.8928	0.7894	4	O	 
16	5	N (N)	6	N	Y	0.7703	0.9473	4	O	 
17	4	Y (Y)	6	N	Y	0.5428	0.9736	3	O	 
18	4	Y (Y)	6	N	Y	0.5214	0.9736	3	O	 
19	4	Y (Y)	6	N	Y	0.4964	0.9736	3	O	 
20	3	Y (Y)	6	N	Y	0.5428	0.9736	3	O	 
21	3	Y (Y)	6	N	Y	0.4642	0.9473	3	O	 
22	2	Y (Y)	6	N	Y	0.7301	1.0000	3	O	 
23	1	Y (Y)	6	Y	Y	0.9214	1.0000	4	O	 
24	1	Y (Y)	6	N	Y	0.8428	0.9473	4	O	 
25	1	Y (Y)	6	N	Y	0.7964	0.9473	4	O	 
26	1	Y (Y)	6	N	Y	0.7785	1.0000	4	O	 
27	1	Y (Y)	6	N	Y	0.7714	0.7894	4	O	 
28	1	Y (Y)	6	N	Y	0.7000	0.7894	4	O	 
29	1	Y (Y)	6	N	Y	0.6928	0.9473	4	O	 
30	1	Y (Y)	6	N	Y	0.6928	0.7894	4	O	 
31	1	Y (Y)	6	N	Y	0.5607	0.9473	3	O	 
32	1	Y (Y)	6	N	Y	0.5428	0.8684	3	O	 
33	1	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
34	1	Y (Y)	6	N	Y	0.3642	0.7894	2	O	 
