Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IEE2021-01-00	KOREAN TRADITIONAL MUSIC AND CULTURE	3	반보희	화5,6,목4	상본B106	50	25	0 (N)	0	0	0	0	O	36	1	36	14.88
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	2	N	Y	0.2500	0.9375	2	O	 
2	35	N (N)	3	N	Y	0.7500	0.8750	4	O	 
3	24	N (N)	4	N	Y	0.5000	0.8750	3	O	 
4	24	N (N)	3	N	Y	0.7500	0.8750	4	O	 
5	24	N (N)	3	N	Y	0.7500	0.8750	4	O	 
6	21	N (N)	3	N	Y	0.7500	0.8750	4	O	 
7	20	N (N)	5	N	Y	0.5000	0.8750	3	O	 
8	20	N (N)	4	N	Y	0.7500	0.9375	4	O	 
9	18	N (N)	5	N	Y	0.2500	0.8750	2	O	 
10	16	N (N)	4	N	Y	0.5000	0.9375	3	O	 
11	15	N (N)	5	N	Y	0.7500	0.8750	4	O	 
12	14	N (N)	5	N	Y	0.7500	0.9375	4	O	 
13	13	N (N)	6	N	Y	0.5000	0.8750	3	O	 
14	13	N (N)	4	N	Y	0.5000	0.9375	3	O	 
15	12	N (N)	6	N	Y	0.2500	0.8750	2	O	 
16	12	N (N)	5	N	Y	0.7500	0.8750	4	O	 
17	10	N (N)	5	N	Y	0.5000	0.8750	3	O	 
18	10	N (N)	5	N	Y	0.5000	0.8750	3	O	 
19	10	N (N)	5	N	Y	0.5000	0.8750	3	O	 
20	8	N (N)	6	N	Y	0.7500	0.9722	4	O	 
21	8	N (N)	4	N	Y	0.5000	0.9722	3	O	 
22	5	N (N)	5	N	Y	0.2500	0.8750	2	O	 
23	2	N (N)	6	N	Y	0.5000	0.8750	3	O	 
24	1	N (N)	6	N	Y	0.5000	0.8750	3	O	 
25	1	N (N)	5	N	Y	0.2500	0.8750	2	O	 
